reg.coeff,SE,t_val,p_val,species,vessel_id,fishery_lab,coeff_norm,rank_coeff
-14.04091607,514.5337443,-0.02728862,0.97823087,Shortfin makos,ETBF_98,Tuna longlines,-0.578731985,1
1.592013568,14.03598615,0.113423706,0.909700235,Shortfin makos,ETBF_99,Tuna longlines,0.045585496,50
1.326306954,14.03100298,0.094526881,0.924695278,Shortfin makos,ETBF_100,Tuna longlines,0.03797729,38
1.53247383,14.03006734,0.109227831,0.913027165,Shortfin makos,ETBF_101,Tuna longlines,0.043880644,49
-12.54843489,421.0652365,-0.029801641,0.97622671,Shortfin makos,ETBF_102,Tuna longlines,-0.517215586,13
2.275749485,14.03009417,0.162204862,0.871152575,Shortfin makos,ETBF_103,Tuna longlines,0.065163496,109
2.298788071,14.03042488,0.163843083,0.869862801,Shortfin makos,ETBF_104,Tuna longlines,0.06582318,110
1.995426613,14.03018554,0.142223822,0.886910248,Shortfin makos,ETBF_105,Tuna longlines,0.05713677,82
-12.9226918,417.5959497,-0.030945443,0.975314564,Shortfin makos,ETBF_106,Tuna longlines,-0.532641534,8
2.315163952,14.03009407,0.165014143,0.868941036,Shortfin makos,ETBF_107,Tuna longlines,0.066292084,112
3.002476078,14.03029694,0.213999468,0.830558181,Shortfin makos,ETBF_108,Tuna longlines,0.085972485,130
1.917958053,14.03056932,0.136698519,0.891275854,Shortfin makos,ETBF_109,Tuna longlines,0.054918546,72
1.735274479,14.03038202,0.123679774,0.901574927,Shortfin makos,ETBF_110,Tuna longlines,0.049687609,61
1.429731494,14.03013487,0.10190433,0.918837628,Shortfin makos,ETBF_111,Tuna longlines,0.040938734,42
1.373537297,14.03021858,0.097898496,0.92201771,Shortfin makos,ETBF_112,Tuna longlines,0.039329677,40
0.090746646,14.0329409,0.006466688,0.994840682,Shortfin makos,ETBF_113,Tuna longlines,0.002598427,17
